"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.095879,4.8e-05,0.095851,0.08445,0.091334,0.100303,0.107384
"2",0.089941,3.3e-05,0.089982,0.081036,0.085702,0.093721,0.099693
"3",0.08034,6.7e-05,0.079288,0.069436,0.075373,0.083537,0.09737
"4",0.078492,3.9e-05,0.078541,0.068948,0.074171,0.082833,0.088565
"5",0.082383,5.6e-05,0.081676,0.071562,0.077233,0.086733,0.096973
"6",0.080663,4.3e-05,0.080893,0.069467,0.076122,0.08544,0.090923
"7",0.095002,5e-05,0.095129,0.083289,0.090289,0.09964,0.106488
"8",0.106326,5.6e-05,0.106402,0.094316,0.101299,0.111311,0.118131
"9",0.09255,6.3e-05,0.092914,0.079482,0.086845,0.097997,0.10557
"10",0.09236,4.7e-05,0.092288,0.081886,0.087518,0.097139,0.103095
"11",0.089634,4.6e-05,0.089759,0.078675,0.084877,0.094366,0.100467
"12",0.098652,4.9e-05,0.098512,0.086905,0.093977,0.103401,0.110135
"13",0.107535,7e-05,0.107837,0.094283,0.102267,0.112499,0.121479
"14",0.084996,4.4e-05,0.084944,0.074656,0.080648,0.088778,0.095849
"15",0.095289,3.4e-05,0.095366,0.0855,0.091521,0.098968,0.104554
"16",0.085482,4.1e-05,0.085576,0.075478,0.081117,0.089554,0.096189
"17",0.095549,3.5e-05,0.095241,0.086554,0.091562,0.099222,0.106043
"18",0.093712,5e-05,0.093671,0.08228,0.089232,0.098497,0.10568
"19",0.090549,5.4e-05,0.089958,0.080026,0.085566,0.094571,0.103923
"20",0.091921,3.6e-05,0.092,0.081889,0.087646,0.096292,0.101275
"21",0.09027,7.8e-05,0.089498,0.077861,0.084261,0.095161,0.106242
"22",0.092191,4.2e-05,0.092143,0.081167,0.087923,0.096379,0.102597
"23",0.087011,3.6e-05,0.087105,0.07692,0.083248,0.091205,0.096595
"24",0.095901,4.4e-05,0.095622,0.085749,0.091411,0.099714,0.106951
"25",0.110504,5e-05,0.110591,0.099385,0.105596,0.115345,0.121605
"26",0.095202,4.6e-05,0.095063,0.083434,0.090637,0.09963,0.106416
"27",0.08482,3.7e-05,0.084882,0.074567,0.080822,0.088614,0.0941
"28",0.082725,3.5e-05,0.082636,0.072869,0.078667,0.086805,0.092186
"29",0.082954,3.3e-05,0.082719,0.074193,0.07923,0.086615,0.09272
"30",0.094358,3.5e-05,0.094311,0.084431,0.090601,0.098034,0.104429
"31",0.084481,4.4e-05,0.084395,0.073831,0.079936,0.088471,0.095939
"32",0.105725,6.5e-05,0.105584,0.092271,0.100137,0.110936,0.119619
"33",0.094395,4.5e-05,0.094211,0.083777,0.089757,0.098634,0.10566
"34",0.089499,4.4e-05,0.089286,0.079254,0.084927,0.094221,0.100631
"35",0.091492,3.8e-05,0.091613,0.081128,0.0874,0.095685,0.101731
"36",0.093913,4.4e-05,0.093919,0.082793,0.089516,0.098016,0.105339
"37",0.07852,3.7e-05,0.078432,0.068457,0.074553,0.082157,0.088693
"38",0.096492,5.6e-05,0.096609,0.084549,0.09106,0.100935,0.110459
"39",0.091841,3.9e-05,0.09222,0.081547,0.087923,0.095632,0.101424
"40",0.090403,5.2e-05,0.090477,0.079207,0.085488,0.095335,0.101824
"41",0.078499,3.7e-05,0.078322,0.06926,0.074284,0.081899,0.088983
"42",0.084614,4.6e-05,0.08453,0.073916,0.08014,0.088684,0.095498
"43",0.088241,3.8e-05,0.087778,0.078337,0.084389,0.09217,0.099436
"44",0.080055,3.7e-05,0.080048,0.070365,0.075958,0.084392,0.089755
"45",0.091644,3.7e-05,0.091655,0.081351,0.087705,0.095725,0.101237
"46",0.094674,4.4e-05,0.094638,0.084119,0.090146,0.098695,0.105926
"47",0.087987,3.5e-05,0.088234,0.078355,0.084128,0.091748,0.097595
"48",0.096466,4.8e-05,0.096817,0.084659,0.091621,0.101356,0.107231
"49",0.116926,6.8e-05,0.116288,0.1035,0.111377,0.122413,0.130382
"50",0.088851,4.2e-05,0.088471,0.078435,0.084453,0.092924,0.099677
"51",0.075791,2.7e-05,0.075409,0.067587,0.072405,0.078947,0.084533
"52",0.08948,6.7e-05,0.088892,0.077745,0.084175,0.093806,0.104858
"53",0.082791,3.8e-05,0.082634,0.0727,0.07873,0.086558,0.092657
"54",0.113458,5.4e-05,0.112842,0.102082,0.108656,0.117823,0.125954
"55",0.094524,4.5e-05,0.094666,0.083661,0.09004,0.099174,0.105384
"56",0.089735,6.9e-05,0.08864,0.078291,0.084722,0.09435,0.104205
