"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.0683,4e-05,0.06807,0.058411,0.063944,0.072379,0.079482
"2",0.062785,2.4e-05,0.062699,0.054707,0.059515,0.066176,0.070767
"3",0.055535,2.5e-05,0.055584,0.046748,0.052508,0.058765,0.063843
"4",0.053139,2.4e-05,0.0534,0.045539,0.049682,0.056558,0.060864
"5",0.056871,2.3e-05,0.056977,0.048997,0.05332,0.060202,0.064609
"6",0.05525,2.8e-05,0.055225,0.046839,0.051743,0.058721,0.064185
"7",0.067059,3.9e-05,0.066853,0.057775,0.062906,0.071214,0.077014
"8",0.075295,4.1e-05,0.075129,0.065785,0.070892,0.079282,0.085592
"9",0.06367,4e-05,0.063632,0.053754,0.059214,0.06777,0.074284
"10",0.063377,4.1e-05,0.063501,0.053077,0.05883,0.067845,0.073339
"11",0.062526,3.7e-05,0.0626,0.052121,0.058738,0.066744,0.072348
"12",0.069771,3.8e-05,0.069566,0.060152,0.06559,0.073544,0.080071
"13",0.075711,3.6e-05,0.075861,0.065851,0.071706,0.079576,0.085219
"14",0.05774,2.9e-05,0.057802,0.049235,0.054189,0.061146,0.066307
"15",0.067516,4.2e-05,0.067182,0.057188,0.063765,0.071385,0.078263
"16",0.058493,2.8e-05,0.0586,0.049013,0.055372,0.061566,0.066892
"17",0.066382,3e-05,0.066594,0.057295,0.062778,0.069782,0.075637
"18",0.065008,4.5e-05,0.064951,0.054416,0.060166,0.069539,0.076366
"19",0.063494,3.1e-05,0.063435,0.054308,0.059927,0.066902,0.072673
"20",0.064485,2.5e-05,0.064523,0.055799,0.061201,0.068073,0.07222
"21",0.059998,3.3e-05,0.059957,0.050445,0.056387,0.063786,0.069177
"22",0.063943,2.9e-05,0.064116,0.055357,0.060247,0.067733,0.072597
"23",0.061465,2.6e-05,0.061338,0.05298,0.058123,0.064709,0.070095
"24",0.067959,4.1e-05,0.067511,0.058685,0.063651,0.071939,0.078726
"25",0.079459,3.2e-05,0.079179,0.070775,0.075659,0.082878,0.088448
"26",0.065179,3.4e-05,0.065269,0.055125,0.06133,0.069003,0.074879
"27",0.059229,2.7e-05,0.058926,0.051141,0.05557,0.062649,0.068169
"28",0.057699,2.5e-05,0.057467,0.050044,0.05453,0.060934,0.065893
"29",0.059438,2.4e-05,0.059428,0.051601,0.056165,0.062533,0.067824
"30",0.067628,2.4e-05,0.067588,0.060092,0.064139,0.071054,0.075502
"31",0.057679,3.1e-05,0.057665,0.049356,0.053826,0.061478,0.06674
"32",0.073291,3.9e-05,0.073001,0.063476,0.06897,0.077064,0.084037
"33",0.065574,2.8e-05,0.065609,0.057369,0.061931,0.068938,0.074658
"34",0.061252,3.5e-05,0.061272,0.051987,0.057239,0.065009,0.070886
"35",0.076955,6.8e-05,0.079569,0.060852,0.070667,0.083283,0.08689
"36",0.065543,2.7e-05,0.065485,0.056887,0.061839,0.069214,0.073549
"37",0.053556,2.8e-05,0.05351,0.044759,0.050099,0.056862,0.062602
"38",0.067354,3.8e-05,0.067287,0.057886,0.06321,0.071073,0.077261
"39",0.064534,3.1e-05,0.064425,0.055671,0.060812,0.068291,0.073816
"40",0.062783,4.5e-05,0.062567,0.051604,0.058313,0.066749,0.073476
"41",0.054438,2.3e-05,0.054266,0.04667,0.051212,0.05751,0.06239
"42",0.058518,3.4e-05,0.058341,0.049881,0.054408,0.062436,0.068514
"43",0.0633,4e-05,0.062959,0.054146,0.059252,0.06671,0.074203
"44",0.054913,2.5e-05,0.054887,0.046679,0.051544,0.058113,0.063292
"45",0.064077,3.1e-05,0.064165,0.054542,0.060544,0.067814,0.0728
"46",0.066729,3e-05,0.06675,0.058038,0.063122,0.070753,0.075276
"47",0.061437,2.4e-05,0.06152,0.053179,0.058161,0.064866,0.069181
"48",0.066099,3.3e-05,0.066049,0.056876,0.061917,0.069919,0.075871
"49",0.083104,5e-05,0.083621,0.071032,0.07823,0.087718,0.094347
"50",0.058739,2.5e-05,0.058692,0.050654,0.055325,0.062036,0.06713
"51",0.052355,2.1e-05,0.052336,0.044562,0.049206,0.055829,0.059741
"52",0.060064,3.6e-05,0.059587,0.051057,0.05608,0.063821,0.070281
"53",0.057197,3e-05,0.056849,0.049009,0.053669,0.060535,0.066699
"54",0.081892,3.7e-05,0.081677,0.071918,0.077877,0.085681,0.091712
"55",0.065978,3.2e-05,0.065621,0.056808,0.062341,0.070014,0.075153
"56",0.060288,2.7e-05,0.060347,0.052191,0.056759,0.063952,0.068723
"57",0.05186,2.1e-05,0.052066,0.044762,0.048912,0.054949,0.058775
"58",0.067313,3.9e-05,0.067303,0.057639,0.062791,0.071493,0.077807
"59",0.061376,2.5e-05,0.061216,0.053293,0.058117,0.064823,0.069401
"60",0.062606,3.3e-05,0.062659,0.05335,0.058795,0.0665,0.071845
"61",0.060846,3.2e-05,0.060745,0.051657,0.057158,0.064602,0.070245
"62",0.061386,3.5e-05,0.06098,0.052284,0.057255,0.065238,0.072012
"63",0.070155,4.3e-05,0.070231,0.059176,0.065682,0.074582,0.081089
"64",0.081205,4.9e-05,0.081172,0.069791,0.076556,0.085819,0.09246
"65",0.073192,3.1e-05,0.073593,0.063491,0.069572,0.076871,0.081938
"66",0.058318,2.7e-05,0.058061,0.049899,0.054803,0.061691,0.066845
"67",0.060282,3.4e-05,0.060149,0.050956,0.056252,0.06403,0.069999
"68",0.063101,2.6e-05,0.063435,0.053914,0.059831,0.066735,0.071006
"69",0.061858,3e-05,0.062048,0.052409,0.058251,0.065629,0.069981
"70",0.069287,5.4e-05,0.069442,0.056923,0.064339,0.074197,0.081575
"71",0.088015,2e-05,0.087884,0.080357,0.085162,0.090679,0.094988
"72",0.064624,2.8e-05,0.064855,0.055907,0.060847,0.068204,0.072867
"73",0.070849,7.1e-05,0.070136,0.058336,0.065074,0.075855,0.086869
"74",0.065108,2.2e-05,0.065129,0.057861,0.062203,0.068026,0.072816
"75",0.076012,3.8e-05,0.075872,0.065818,0.071806,0.080472,0.085938
"76",0.063953,3.8e-05,0.063795,0.053903,0.059916,0.068063,0.074416
"77",0.056636,3e-05,0.056627,0.047363,0.053033,0.06005,0.065473
"78",0.065016,3.3e-05,0.06511,0.055861,0.06138,0.068686,0.074345
"79",0.072437,3.6e-05,0.0725,0.062067,0.068558,0.076501,0.082641
"80",0.065976,2.8e-05,0.066291,0.057323,0.062811,0.069409,0.074744
"81",0.066079,3.6e-05,0.066141,0.056123,0.062287,0.070224,0.075219
"82",0.064949,3.1e-05,0.064909,0.055748,0.061217,0.068796,0.07361
"83",0.057237,2.5e-05,0.057282,0.04899,0.054028,0.060431,0.065131
"84",0.058287,2.4e-05,0.058395,0.049554,0.055271,0.061329,0.065846
"85",0.061789,2.7e-05,0.061814,0.052967,0.058304,0.065187,0.070161
"86",0.058696,3.2e-05,0.058931,0.049769,0.054449,0.062632,0.067895
"87",0.07488,3.1e-05,0.074785,0.065861,0.071154,0.078287,0.084245
"88",0.074428,4.3e-05,0.074357,0.063769,0.070192,0.078596,0.085014
"89",0.057252,2.8e-05,0.057145,0.048779,0.053781,0.060526,0.066276
"90",0.057898,2.6e-05,0.057856,0.049813,0.054693,0.061437,0.066647
"91",0.051134,2.2e-05,0.051053,0.043804,0.047871,0.054389,0.058295
"92",0.063611,2.5e-05,0.063608,0.056046,0.060067,0.06665,0.07228
"93",0.064117,3e-05,0.064128,0.055046,0.060627,0.06782,0.072709
"94",0.066041,2.5e-05,0.066267,0.057997,0.06246,0.069526,0.074277
"95",0.065463,3.3e-05,0.065408,0.055685,0.061506,0.06934,0.074778
"96",0.063524,3.4e-05,0.063618,0.054361,0.059555,0.067501,0.072422
"97",0.057194,2.1e-05,0.057295,0.049528,0.054287,0.06028,0.064814
"98",0.066486,3.2e-05,0.066445,0.056995,0.062638,0.070418,0.075824
"99",0.061289,3.3e-05,0.060867,0.052357,0.057528,0.064501,0.071169
"100",0.065058,2.7e-05,0.064722,0.056345,0.061689,0.068417,0.074035
