mean,var,median,0.05th,0.25th,0.75th,0.95th
0.186417137515907,0.000150744880318235,0.186629771677509,0.166078044292587,0.177982047057593,0.195277998277245,0.206552299601517
0.182400657098537,0.000145728922765775,0.18303598676622,0.161545840802407,0.17462488430076,0.190907964290469,0.200775736833746
0.177914452387313,0.0001684750888408,0.178385518403385,0.156530550063272,0.169463174286179,0.186183676362712,0.197907492010292
0.190936395863116,0.000166831382951234,0.191028696333205,0.169442735828793,0.18169900586939,0.200019822627971,0.212575315390247
0.180432602416185,0.000135553908864344,0.179873648154015,0.161441527920346,0.172666163907567,0.188253838567407,0.199707017786936
0.189810533306421,0.000159487286368175,0.190275531122782,0.169964501266977,0.18130252501232,0.198717139533684,0.20826964991379
0.181442300048639,0.000132656343674956,0.182126220271982,0.161956139971218,0.173455171595174,0.189403333316608,0.199582457060804
0.167369630566661,0.000192574038197185,0.167554912339698,0.143976254348039,0.158270893138593,0.177489879936493,0.190429558069005
0.181299952043349,0.000155893367360343,0.181578494001937,0.160632072957835,0.172760456195767,0.190006911562118,0.20153458778858
0.193372379142878,0.000135917657824734,0.193630444371199,0.172806302031456,0.186383057599589,0.201244941510911,0.212636215904057
0.199268828537155,0.000149589021466845,0.19940765965143,0.178333402597813,0.191483182374081,0.207353406898843,0.21921492844865
0.19884672017636,0.000126893973134929,0.198419496810455,0.181044351812931,0.19171026256421,0.206640049089987,0.217074892692172
0.184610112589072,0.000174832465881183,0.184495980682064,0.162575941495841,0.175623034213797,0.194136439932041,0.205621528407514
0.197030092718936,0.000241704828178285,0.196926883462863,0.169580803493776,0.186479262455375,0.20804113559574,0.221481319994346
0.197231604603875,8.89404397063968E-05,0.197298174862164,0.182037070509953,0.190705698201147,0.203663830656693,0.212406562408581
0.178215399701073,0.000223939636296959,0.177893580422555,0.15446078164452,0.167658732401184,0.189489828478187,0.202113935901449
0.189262654157277,0.000171511837199604,0.189171416127551,0.167727282504757,0.180672465678375,0.198260114999771,0.211217796067567
0.184832141216582,0.000198752518532827,0.185101939043368,0.161158024644793,0.175083377469666,0.194467004932299,0.207452503388494
0.17108777642502,0.000139388771882775,0.171349572120287,0.15224379471282,0.163303899417546,0.179252707197876,0.190456314297719
0.190702793035788,0.000171477402491059,0.191534117503181,0.167357885341874,0.181294134138966,0.200043394508399,0.210641472718609
0.187265614840292,0.000127682578422107,0.187628018159915,0.168413978425363,0.180055709839115,0.194808231028611,0.206511086524532
0.191672138317499,0.000188595198610235,0.191847979755645,0.168049011486704,0.18173371078893,0.202645661294253,0.213355712491651
0.197565748608074,0.000197577512567989,0.197581868121766,0.175054295132494,0.187555018330896,0.207075956277429,0.219727427760641
0.176499421437569,0.00011762025421007,0.176735923600851,0.158122058073031,0.169991196486343,0.183571121273352,0.193550730641049
0.194620012344541,0.000188170219855246,0.194485520487515,0.173309721189987,0.18462966546595,0.204733002544183,0.216519454237485
0.18740472215434,0.000194233170258165,0.188321766845004,0.163109197857161,0.17862734672618,0.197348864337571,0.209878884388798
0.187908705409674,0.000195817762805575,0.188901136903045,0.164874028367507,0.177846681596504,0.197959338178392,0.209855369535434
0.191419876769259,0.000169580839166962,0.19046633196325,0.17108833171821,0.183218701890564,0.200077661612201,0.213469498792575
0.185303147560748,0.000106467184637914,0.185818641025477,0.16867071504144,0.179093466253375,0.192059794294743,0.201643088668342
0.172130848631674,0.00011185841388925,0.172514779942721,0.153285555071945,0.165155939022083,0.179028423161539,0.18904065087751
0.167486691575277,0.000147031870328428,0.167497096598414,0.147671185802585,0.158906997003483,0.175672481208389,0.187301099526778
0.182091130277623,0.000169647284176326,0.182310995158496,0.160935581838735,0.173257572263997,0.190794896927881,0.204489954914615
0.194546054491267,0.000166341636836664,0.195074046087262,0.172068051905175,0.186149553077889,0.203175348482239,0.214286848262617
0.173066731128082,0.000125756027396295,0.172889594725562,0.155361689646435,0.165774931767265,0.181035456676028,0.191538958681186
0.18000720379813,0.000199284315776679,0.179643703475517,0.158067943424246,0.170761993278793,0.189901327358558,0.203538523129365
0.167343766903792,0.000140715086889444,0.167480079625396,0.148034595127488,0.158919246266701,0.17604969433241,0.185721581127525
0.193770505123077,0.000178365262850682,0.193892644491769,0.170841045632563,0.184542523014937,0.202567227560322,0.215899086620465
0.161789097036634,0.000124982631051607,0.161776447531303,0.143322105698269,0.15442731217176,0.169722931400606,0.17986417920445
0.183227738773434,0.000171130336410422,0.182949847441436,0.161064307170179,0.17539044502421,0.192169918703946,0.204413691578062
0.208876180208154,0.000183022672473159,0.208102467047425,0.1872242542996,0.199747272981117,0.218741631188788,0.231254161665538
0.18664076602701,0.000136544052473621,0.187356221914299,0.165948691776954,0.178829148837403,0.195522226381476,0.204295172539667
0.192137891885975,0.000144026543322497,0.192975708207152,0.171320794567231,0.18422434916248,0.200745222939255,0.210684717045504
0.173782569889694,0.00018204709930349,0.173775550226314,0.152323706233503,0.164175995631601,0.182602035532223,0.196976134958728
0.195103490063604,0.000216169504895766,0.194514682975709,0.171253463753534,0.184664167381963,0.205770126954048,0.218636131501076
0.185956061032742,0.000163652018252088,0.185909051075096,0.164520040662282,0.177753397158495,0.194631013550539,0.206609429625008
0.194237399355747,0.000160717433872939,0.194084477246771,0.172671028246104,0.186030488113438,0.203136180137878,0.215307747633202
0.171358929382459,0.00014355070324639,0.172169497304934,0.149096930612576,0.164114593984912,0.179725013023838,0.188848446401174
0.179880055696827,0.000138685420294829,0.179947686463809,0.160377116725036,0.172508749434362,0.188022146904026,0.197890988731231
0.189606648268975,0.000193192619563172,0.189504661171231,0.165595265366865,0.18060399593528,0.199585556882934,0.211609201209652
0.214017389950094,0.000238981776227225,0.214590081891105,0.189184548490923,0.203653183874167,0.223754799344902,0.239993287702666
