"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.022517,8e-06,0.021491,0.019476,0.020489,0.024536,0.028334
"2",0.008033,2e-05,0.004842,0.004458,0.004655,0.013261,0.0154
"3",0.016835,0,0.016942,0.015625,0.01633,0.0174,0.017814
"4",0.020928,4.8e-05,0.024084,0.00948,0.009758,0.026066,0.027252
"5",0.016316,0,0.016298,0.015728,0.016037,0.016599,0.016917
"6",0.023938,2.3e-05,0.024803,0.016791,0.0193,0.028139,0.030201
"7",0.026704,3e-06,0.025971,0.025248,0.025565,0.02669,0.031137
"8",0.020507,0,0.020547,0.019625,0.020158,0.020879,0.021279
"9",0.023771,3.5e-05,0.022014,0.017363,0.018355,0.029357,0.033662
"10",0.011945,0,0.011941,0.011476,0.011702,0.012164,0.012434
"11",0.005359,7e-06,0.004482,0.004161,0.004351,0.00462,0.012923
"12",0.014711,1e-05,0.013134,0.011408,0.012254,0.017641,0.020216
"13",0.013698,4e-06,0.014111,0.010012,0.012328,0.015374,0.016049
"14",0.008606,0,0.008607,0.00842,0.008522,0.00869,0.008795
"15",0.03354,1e-06,0.033563,0.032136,0.032586,0.034477,0.035001
"16",0.018921,2e-06,0.019705,0.016234,0.017056,0.019972,0.020345
"17",0.02135,2.8e-05,0.018624,0.014977,0.016444,0.02667,0.029216
"18",0.021962,0,0.021868,0.021258,0.021624,0.022235,0.022942
"19",0.015186,1.7e-05,0.016227,0.005239,0.012921,0.018573,0.019691
"20",0.020168,1e-06,0.020353,0.018713,0.019497,0.020842,0.021326
"21",0.006916,0,0.006932,0.006412,0.006672,0.007146,0.007436
"22",0.025686,1e-06,0.025625,0.02444,0.025122,0.026219,0.027025
"23",0.021173,3.7e-05,0.018242,0.016613,0.017289,0.019287,0.032438
"24",0.02466,5e-06,0.025109,0.020741,0.022856,0.026618,0.027594
"25",0.001189,5e-06,0.000589,0.000485,0.000545,0.000641,0.007246
"26",0.016277,6e-06,0.01468,0.014094,0.01439,0.019134,0.020502
"27",0.017791,2e-06,0.017513,0.016637,0.017099,0.017874,0.022252
"28",0.025678,9e-06,0.025645,0.017477,0.024259,0.027953,0.03014
"29",0.024751,1.9e-05,0.025355,0.018015,0.020945,0.027874,0.032999
"30",0.009902,1e-06,0.009669,0.009033,0.009386,0.010166,0.011272
"31",0.023293,6e-06,0.023517,0.019676,0.020932,0.025342,0.026971
"32",0.021407,2e-06,0.021652,0.018884,0.020304,0.02255,0.023225
"33",0.0131,0,0.013229,0.011935,0.012605,0.013574,0.014035
"34",0.01899,5.4e-05,0.015863,0.012418,0.012938,0.02577,0.032717
"35",0.011934,1.9e-05,0.013852,0.002593,0.012362,0.014623,0.015018
"36",0.030224,3e-06,0.030287,0.027134,0.029015,0.031595,0.033033
"37",0.01284,4e-06,0.011608,0.010808,0.01113,0.01495,0.015895
"38",0.007223,8e-06,0.00833,0.000975,0.006544,0.009316,0.009532
"39",0.01854,0,0.018558,0.018165,0.01838,0.018697,0.018894
"40",0.01368,2.6e-05,0.011767,0.01064,0.011271,0.012138,0.026359
"41",0.012054,0,0.012047,0.011842,0.011947,0.012154,0.012297
"42",0.023496,5e-06,0.022678,0.021025,0.021415,0.025968,0.026945
"43",0.007505,0,0.007498,0.006991,0.007257,0.007698,0.008074
"44",0.025988,0.000129,0.016078,0.015653,0.015796,0.037789,0.043394
"45",0.017787,2.1e-05,0.015443,0.014973,0.015227,0.015868,0.027951
"46",0.01739,6e-06,0.017577,0.013647,0.015306,0.019437,0.020879
"47",0.018957,9e-06,0.018057,0.015883,0.016303,0.023172,0.02375
"48",0.01146,1e-05,0.010022,0.008025,0.008877,0.014631,0.017357
"49",0.006123,6e-06,0.005397,0.005024,0.00525,0.005537,0.012496
"50",0.011715,9e-06,0.010509,0.009958,0.010262,0.010853,0.01913
