"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.008927,2e-06,0.008527,0.007213,0.007971,0.009642,0.0118
"2",0.00933,1e-06,0.009229,0.007914,0.00873,0.00989,0.010811
"3",0.008287,0,0.008275,0.007139,0.007817,0.008791,0.009412
"4",0.008335,0,0.008309,0.007241,0.007856,0.008824,0.009461
"5",0.008407,1e-06,0.008359,0.007278,0.007914,0.008849,0.009651
"6",0.007559,0,0.007554,0.006438,0.007129,0.007999,0.008616
"7",0.008583,2e-06,0.008346,0.007144,0.007839,0.008949,0.010954
"8",0.008719,1e-06,0.008703,0.00743,0.008193,0.009173,0.010254
"9",0.008525,1e-06,0.008408,0.00737,0.007961,0.008949,0.010026
"10",0.008106,1e-06,0.007937,0.00681,0.007427,0.008458,0.010017
"11",0.009124,1e-06,0.00901,0.007839,0.008557,0.009538,0.010758
"12",0.009398,1e-06,0.009227,0.007976,0.008657,0.009866,0.011686
"13",0.008064,0,0.008058,0.00703,0.007648,0.008489,0.009056
"14",0.008483,0,0.008504,0.007433,0.008044,0.008891,0.009606
"15",0.008628,1e-06,0.008618,0.007376,0.008176,0.009103,0.009796
"16",0.007961,0,0.007965,0.006913,0.007527,0.008362,0.009092
"17",0.008176,0,0.008171,0.006997,0.007744,0.008675,0.00934
"18",0.008493,1e-06,0.008269,0.007049,0.007739,0.008887,0.011143
"19",0.008724,1e-06,0.00849,0.007272,0.007948,0.009185,0.010918
"20",0.009595,2e-06,0.009319,0.007853,0.008712,0.010142,0.01244
"21",0.008972,1e-06,0.008923,0.007731,0.008406,0.009482,0.010381
"22",0.008638,0,0.008622,0.007494,0.008141,0.009134,0.00987
"23",0.009414,1e-06,0.009358,0.008108,0.008815,0.009935,0.01089
"24",0.007786,0,0.007796,0.006648,0.00733,0.008273,0.008918
"25",0.008004,0,0.008019,0.007013,0.007659,0.008396,0.008916
"26",0.009547,1e-06,0.009516,0.008362,0.008977,0.010029,0.010915
"27",0.007268,0,0.007238,0.006289,0.006786,0.007673,0.008416
"28",0.008509,0,0.008509,0.007414,0.008082,0.009008,0.00957
"29",0.009743,2e-06,0.009473,0.008145,0.008909,0.010266,0.012431
"30",0.008839,1e-06,0.008802,0.00769,0.00836,0.009323,0.010001
"31",0.008501,2e-06,0.008091,0.006667,0.007455,0.009527,0.011195
"32",0.008765,2e-06,0.008566,0.007273,0.008023,0.009074,0.011398
"33",0.008686,1e-06,0.008665,0.007425,0.008149,0.009188,0.010003
"34",0.009599,9e-06,0.008863,0.007464,0.008306,0.009706,0.015141
"35",0.008894,1e-06,0.008847,0.00775,0.008407,0.009367,0.010154
"36",0.008722,0,0.008728,0.007745,0.008281,0.00911,0.009793
"37",0.009381,1e-06,0.009295,0.00794,0.008643,0.010017,0.011006
"38",0.008356,0,0.008378,0.007295,0.007958,0.008743,0.009376
"39",0.00889,1e-06,0.008891,0.007764,0.00838,0.009351,0.01011
"40",0.008541,0,0.008527,0.007472,0.008128,0.008943,0.009637
"41",0.008993,1e-06,0.008985,0.007769,0.008478,0.009507,0.010194
