"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.004357,2e-06,0.003967,0.003067,0.003595,0.004515,0.00762
"2",0.003383,0,0.0034,0.002546,0.003036,0.003708,0.004258
"3",0.004012,1e-06,0.003863,0.002985,0.003468,0.004264,0.005345
"4",0.003568,0,0.003593,0.002647,0.003225,0.003926,0.004382
"5",0.003564,0,0.003555,0.002515,0.003095,0.003995,0.004707
"6",0.003779,0,0.003708,0.002884,0.003339,0.004124,0.004998
"7",0.004017,1e-06,0.003956,0.002936,0.003459,0.004501,0.005415
"8",0.004261,1e-06,0.004114,0.002912,0.003622,0.004665,0.006373
"9",0.004017,0,0.004009,0.003097,0.003667,0.004388,0.004815
"10",0.00386,0,0.003862,0.002903,0.003478,0.004228,0.004762
"11",0.003772,1e-06,0.003763,0.002636,0.003306,0.004199,0.004955
"12",0.004209,0,0.004231,0.003316,0.003865,0.004557,0.005027
"13",0.004221,0,0.004224,0.003374,0.003899,0.00457,0.005064
"14",0.004856,1e-06,0.004831,0.003679,0.004341,0.005342,0.006026
"15",0.003722,0,0.003771,0.002727,0.00337,0.004132,0.004631
"16",0.003941,0,0.003927,0.003041,0.003569,0.004261,0.004977
"17",0.003997,0,0.004006,0.003132,0.003635,0.004372,0.004812
"18",0.003634,0,0.003634,0.002627,0.00322,0.004048,0.004601
"19",0.003864,0,0.003876,0.002948,0.003484,0.004222,0.004766
"20",0.003195,0,0.003105,0.002307,0.002794,0.003459,0.004693
"21",0.004155,2e-06,0.003844,0.002779,0.003418,0.004431,0.007318
"22",0.003488,0,0.003451,0.00261,0.003127,0.003835,0.004395
"23",0.004027,0,0.004051,0.003092,0.003673,0.004437,0.004832
"24",0.003787,1e-06,0.003486,0.002407,0.00304,0.004113,0.006539
"25",0.004301,1e-06,0.004078,0.003183,0.003722,0.004506,0.006088
"26",0.003546,1e-06,0.003488,0.002282,0.00302,0.003979,0.005067
"27",0.004015,1e-06,0.003731,0.002799,0.003281,0.004346,0.006519
"28",0.004072,1e-06,0.003908,0.002843,0.003409,0.004395,0.006154
"29",0.004193,1e-06,0.003969,0.002973,0.00357,0.004416,0.00694
"30",0.004167,0,0.004126,0.003224,0.003792,0.004535,0.005157
"31",0.004341,0,0.004357,0.003367,0.003918,0.004697,0.005349
"32",0.003498,0,0.003489,0.0026,0.00307,0.003904,0.004382
"33",0.003874,1e-06,0.003753,0.00277,0.003317,0.00421,0.005448
"34",0.003638,0,0.003612,0.002778,0.003301,0.003937,0.004598
"35",0.003932,2e-06,0.003711,0.002768,0.003342,0.004114,0.005107
"36",0.003525,0,0.003528,0.00255,0.003123,0.003923,0.004396
"37",0.003613,0,0.003618,0.002536,0.003184,0.00405,0.004601
"38",0.003986,0,0.003887,0.003071,0.003509,0.00437,0.005244
