"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.004556,2.1e-05,0.00202,0.000707,0.001151,0.009387,0.012954
"2",0.009218,7e-06,0.009036,0.007045,0.008365,0.009409,0.012926
"3",0.008146,3.2e-05,0.003891,0.003101,0.003352,0.014256,0.016694
"4",0.003698,1e-06,0.003513,0.002109,0.002811,0.004541,0.005793
"5",0.003984,0,0.003864,0.003582,0.003709,0.004251,0.004639
"6",0.002648,0,0.002553,0.001905,0.002214,0.003155,0.00349
"7",0.005485,1.9e-05,0.002873,0.001223,0.001778,0.010798,0.012089
"8",0.006487,0,0.006422,0.006028,0.006231,0.006721,0.007066
"9",0.000865,0,0.000925,0.000462,0.000726,0.001024,0.001185
"10",0.003634,1.2e-05,0.000855,0.000455,0.000559,0.007554,0.008083
"11",0.010687,6e-06,0.011683,0.004979,0.01039,0.012224,0.013053
"12",0.006522,0,0.006285,0.005973,0.006079,0.006653,0.007884
"13",0.006988,1e-06,0.006656,0.005534,0.006086,0.007885,0.009363
"14",0.002986,4e-06,0.001907,0.001429,0.001627,0.003437,0.007397
"15",0.0028,5e-06,0.001632,0.0015,0.001573,0.002442,0.007581
"16",0.005206,0,0.00516,0.004903,0.005059,0.005334,0.00562
"17",0.002273,0,0.00228,0.002028,0.002157,0.002381,0.002511
"18",0.00259,0,0.002619,0.001798,0.002104,0.002958,0.003562
"19",0.011592,2.1e-05,0.01157,0.005444,0.006535,0.015966,0.01832
"20",0.002109,5e-06,0.00072,0.000468,0.00057,0.004234,0.006214
"21",0.008729,4.4e-05,0.012745,0.001111,0.001239,0.014054,0.018095
"22",0.000635,0,0.000536,0.000438,0.000492,0.000587,0.000739
"23",0.000998,0,0.000993,0.000846,0.000929,0.001064,0.001163
"24",0.011704,1e-06,0.011528,0.010442,0.011074,0.012134,0.013688
"25",0.0059,0,0.006031,0.004992,0.005432,0.006413,0.006543
"26",0.009368,1e-06,0.009275,0.008059,0.008619,0.009713,0.011661
"27",0.004899,0,0.004898,0.004027,0.004704,0.005187,0.005581
"28",0.003583,1e-06,0.003633,0.002136,0.002874,0.004284,0.004847
"29",0.011643,3.4e-05,0.014491,0.002688,0.003063,0.016497,0.017077
"30",0.010804,0.000104,0.002139,0.00183,0.001973,0.022781,0.023156
"31",0.002888,1e-06,0.002831,0.001904,0.002094,0.003728,0.004059
"32",0.006304,3e-06,0.007028,0.003251,0.005064,0.007645,0.007828
"33",0.012389,8e-06,0.01365,0.006873,0.010496,0.014655,0.015011
"34",0.00424,1.1e-05,0.001813,0.001011,0.001212,0.006748,0.011031
"35",0.005244,1.4e-05,0.002737,0.002474,0.00261,0.008679,0.012552
"36",0.005269,1.2e-05,0.003583,0.002007,0.002167,0.00858,0.011495
"37",0.001928,1.3e-05,0.000835,0.000678,0.000753,0.000914,0.013629
"38",0.000544,0,0.000542,0.000429,0.000494,0.00059,0.000664
"39",0.017036,1.1e-05,0.018949,0.011419,0.013634,0.019532,0.020294
"40",0.000907,0,0.00087,0.000629,0.000766,0.001011,0.001358
"41",0.004081,1e-05,0.002296,0.002102,0.002188,0.005816,0.010137
"42",0.006217,2e-06,0.006116,0.004316,0.005035,0.007338,0.008352
"43",0.001832,0,0.001853,0.001416,0.001697,0.002011,0.002172
"44",0.000594,0,0.000585,0.000449,0.000526,0.000646,0.000784
"45",0.001982,0,0.001982,0.001801,0.001905,0.002057,0.002165
"46",0.005787,0,0.00592,0.005158,0.00555,0.006042,0.00615
"47",0.001863,0,0.001768,0.001482,0.001634,0.001983,0.002494
"48",0.00417,0,0.004137,0.003874,0.004017,0.004277,0.004615
"49",0.001012,0,0.00101,0.000889,0.000956,0.001066,0.001151
"50",0.018222,4e-06,0.018162,0.015129,0.016597,0.01997,0.021159
