"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.074381,1.2e-05,0.074364,0.068997,0.07189,0.07686,0.080275
"2",0.064584,1.2e-05,0.064651,0.059054,0.062271,0.066707,0.070592
"3",0.061575,1e-05,0.061653,0.056058,0.059628,0.063701,0.066599
"4",0.056685,1e-05,0.056778,0.051296,0.054429,0.058924,0.06167
"5",0.060511,1e-05,0.060614,0.05556,0.058246,0.062627,0.065633
"6",0.059755,9e-06,0.059841,0.05476,0.057598,0.062005,0.064829
"7",0.05617,9e-06,0.056235,0.051162,0.054308,0.058254,0.060811
"8",0.059236,1e-05,0.059288,0.054134,0.057238,0.061432,0.064442
"9",0.060772,9e-06,0.060788,0.055666,0.058968,0.062877,0.06552
"10",0.060375,1e-05,0.060324,0.055079,0.05829,0.06259,0.065638
"11",0.057564,1e-05,0.05757,0.052081,0.055468,0.059842,0.062651
"12",0.061561,9e-06,0.061589,0.056594,0.059516,0.063635,0.066451
"13",0.061253,1e-05,0.06139,0.055839,0.05923,0.063408,0.066216
"14",0.058633,1e-05,0.058611,0.053357,0.056499,0.060938,0.063803
"15",0.061962,1.2e-05,0.06193,0.056733,0.059517,0.06423,0.067625
"16",0.066149,1.1e-05,0.066102,0.060885,0.064024,0.06849,0.07111
"17",0.068773,1.1e-05,0.068742,0.063456,0.0665,0.070904,0.074452
"18",0.056073,9e-06,0.056065,0.051116,0.054056,0.057982,0.06111
"19",0.058222,9e-06,0.058256,0.05308,0.056306,0.060407,0.063211
"20",0.064454,9e-06,0.064566,0.059266,0.062446,0.066534,0.069312
"21",0.060049,1e-05,0.060113,0.05498,0.057971,0.062037,0.065203
"22",0.064297,1.2e-05,0.064354,0.058456,0.062123,0.066657,0.069795
"23",0.059686,9e-06,0.059689,0.054435,0.057712,0.061833,0.064528
"24",0.059421,1.1e-05,0.059398,0.054031,0.057108,0.061721,0.064945
"25",0.068926,1.1e-05,0.068946,0.063624,0.066656,0.071068,0.07432
"26",0.058531,1.1e-05,0.05842,0.053057,0.05628,0.06078,0.064064
"27",0.050875,9e-06,0.050964,0.045962,0.048875,0.052867,0.05574
"28",0.058886,1.1e-05,0.058798,0.053725,0.056708,0.060897,0.064231
"29",0.063822,1e-05,0.063835,0.058773,0.061697,0.066051,0.068693
"30",0.062109,1e-05,0.062022,0.056841,0.060054,0.064239,0.067378
"31",0.058764,9e-06,0.05869,0.053761,0.056742,0.060961,0.063913
"32",0.060354,1.1e-05,0.060343,0.054523,0.058276,0.062513,0.065841
"33",0.069481,1.3e-05,0.069567,0.063641,0.067147,0.071965,0.075346
"34",0.068295,1.2e-05,0.068283,0.062427,0.066137,0.070595,0.074102
"35",0.061788,1e-05,0.06188,0.056511,0.059643,0.063935,0.066933
"36",0.061251,9e-06,0.061241,0.056356,0.058995,0.063308,0.066058
"37",0.061916,1.2e-05,0.061925,0.056074,0.059603,0.064208,0.067708
"38",0.070713,1.1e-05,0.070723,0.065459,0.068405,0.072883,0.076254
"39",0.058737,1e-05,0.058764,0.053646,0.056551,0.060849,0.064085
"40",0.061538,1.3e-05,0.061641,0.055582,0.058924,0.063873,0.067716
"41",0.062422,1e-05,0.062196,0.057684,0.060141,0.064732,0.067823
"42",0.058198,1e-05,0.058129,0.05349,0.056175,0.060219,0.063482
"43",0.063057,1e-05,0.06311,0.057852,0.060952,0.065232,0.06812
"44",0.060678,1e-05,0.060795,0.055455,0.058599,0.06267,0.065492
"45",0.062869,1.1e-05,0.062765,0.057603,0.060668,0.064871,0.069
"46",0.057548,1e-05,0.057513,0.052559,0.05536,0.059752,0.062829
"47",0.065238,1.3e-05,0.065221,0.059451,0.062822,0.067702,0.071072
"48",0.059703,1.2e-05,0.059699,0.053964,0.057412,0.061886,0.064893
"49",0.068052,1.2e-05,0.067896,0.062603,0.065729,0.070595,0.073634
"50",0.061627,9e-06,0.061564,0.056802,0.059547,0.063574,0.066598
