"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.089726,2.7e-05,0.089577,0.081366,0.086163,0.093001,0.098193
"2",0.094335,2.3e-05,0.094535,0.086532,0.091132,0.097513,0.102024
"3",0.08995,2.2e-05,0.090187,0.082346,0.086967,0.092941,0.096998
"4",0.099924,2.2e-05,0.099983,0.0918,0.096822,0.103102,0.107513
"5",0.0937,2.3e-05,0.093866,0.085609,0.090618,0.096516,0.101573
"6",0.098854,2.6e-05,0.098705,0.090375,0.095618,0.102008,0.107214
"7",0.096337,2.7e-05,0.096255,0.087545,0.092923,0.099892,0.105002
"8",0.089205,2.3e-05,0.089142,0.081634,0.085611,0.092529,0.097297
"9",0.093375,2.3e-05,0.09321,0.085468,0.090258,0.096737,0.100796
"10",0.087172,2.1e-05,0.087021,0.079757,0.084122,0.090206,0.094809
"11",0.09204,2.1e-05,0.09185,0.08452,0.088799,0.095225,0.099039
"12",0.09807,2.5e-05,0.098179,0.089666,0.094736,0.101337,0.105881
"13",0.092393,2.5e-05,0.092306,0.084106,0.089079,0.095698,0.100737
"14",0.106732,3.2e-05,0.106825,0.097609,0.102692,0.110492,0.116192
"15",0.089568,2.5e-05,0.089669,0.081336,0.086006,0.092825,0.09769
"16",0.105601,2.4e-05,0.105686,0.09727,0.102658,0.108577,0.113832
"17",0.09117,2.7e-05,0.091072,0.083065,0.087516,0.09441,0.099701
"18",0.091435,2.7e-05,0.091267,0.083182,0.087593,0.095071,0.099984
"19",0.091624,2.4e-05,0.091661,0.083502,0.088416,0.094698,0.100132
"20",0.091263,2.5e-05,0.091215,0.0828,0.088004,0.094546,0.099764
"21",0.089894,2.3e-05,0.089941,0.08142,0.086876,0.093075,0.097518
"22",0.090369,2.2e-05,0.090283,0.082873,0.086881,0.093553,0.097872
"23",0.092617,2.8e-05,0.092602,0.083952,0.08945,0.095892,0.101062
"24",0.087405,1.7e-05,0.087394,0.080266,0.084863,0.09026,0.094068
"25",0.093689,2.2e-05,0.093654,0.08613,0.090308,0.097063,0.101636
"26",0.08477,2.1e-05,0.084788,0.077477,0.081514,0.087821,0.092416
"27",0.095646,2.4e-05,0.095695,0.087141,0.092596,0.098766,0.103358
"28",0.099497,3e-05,0.099628,0.091008,0.095939,0.10341,0.10799
"29",0.099879,2.4e-05,0.10024,0.091122,0.096784,0.103067,0.107736
"30",0.090342,2.1e-05,0.090731,0.082367,0.087127,0.093552,0.097505
"31",0.087794,2.4e-05,0.087755,0.079815,0.084501,0.090797,0.095746
"32",0.091122,2.8e-05,0.091449,0.082605,0.087489,0.09468,0.09941
"33",0.098437,3e-05,0.098642,0.089322,0.095081,0.102028,0.107166
"34",0.099941,2.7e-05,0.100126,0.091047,0.096424,0.103775,0.10803
"35",0.087873,2.2e-05,0.087929,0.080115,0.084768,0.091004,0.096045
"36",0.105799,3.1e-05,0.105796,0.096288,0.101661,0.109737,0.114562
"37",0.0823,1.9e-05,0.08246,0.075116,0.079304,0.084974,0.089579
"38",0.085473,2.6e-05,0.085578,0.076976,0.08218,0.088778,0.093736
"39",0.096134,2.4e-05,0.096102,0.087873,0.093014,0.099464,0.104261
"40",0.097299,2e-05,0.097413,0.08994,0.094185,0.100233,0.10446
"41",0.092991,2.8e-05,0.093003,0.084737,0.08926,0.096552,0.101874
"42",0.100223,2.6e-05,0.100367,0.091668,0.096778,0.103631,0.108287
"43",0.091777,2.4e-05,0.092091,0.083378,0.08839,0.095095,0.099574
"44",0.098796,2.6e-05,0.098972,0.090099,0.095492,0.102488,0.10679
"45",0.095442,2.3e-05,0.095579,0.087456,0.092518,0.098701,0.103059
"46",0.108012,2.8e-05,0.107925,0.099443,0.104551,0.11153,0.116476
"47",0.086021,2.4e-05,0.08621,0.077683,0.08267,0.08939,0.093932
"48",0.098021,2.7e-05,0.098016,0.089433,0.094736,0.101486,0.106461
"49",0.089403,2.1e-05,0.089296,0.081483,0.086621,0.092388,0.096889
"50",0.084399,2.3e-05,0.084706,0.07658,0.080895,0.087693,0.092146
