"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.070452,3.4e-05,0.070382,0.06112,0.066876,0.074229,0.080139
"2",0.07141,4e-05,0.071228,0.060083,0.067203,0.075865,0.081928
"3",0.064535,3.5e-05,0.064276,0.055437,0.060617,0.068312,0.074585
"4",0.063395,4.2e-05,0.063202,0.053124,0.059239,0.06748,0.074976
"5",0.064387,3.5e-05,0.064129,0.054701,0.060318,0.068604,0.073917
"6",0.076638,3.7e-05,0.076727,0.067142,0.072267,0.081072,0.086166
"7",0.061248,4.2e-05,0.061121,0.049717,0.056912,0.066329,0.071171
"8",0.070611,4e-05,0.070659,0.060616,0.066395,0.075013,0.080468
"9",0.062459,2e-05,0.062462,0.055178,0.059256,0.065599,0.069785
"10",0.070507,3.3e-05,0.070493,0.060707,0.06669,0.074587,0.079939
"11",0.056575,3.5e-05,0.05665,0.047107,0.052542,0.060632,0.066292
"12",0.070678,2.8e-05,0.070849,0.061519,0.06737,0.074256,0.079443
"13",0.0772,4e-05,0.077051,0.067002,0.072711,0.081784,0.087296
"14",0.065394,2.9e-05,0.065508,0.056204,0.061792,0.069284,0.073872
"15",0.066706,4.1e-05,0.066451,0.055829,0.062237,0.071349,0.076853
"16",0.078123,3.7e-05,0.078202,0.067987,0.073878,0.082004,0.088384
"17",0.07168,3.9e-05,0.071889,0.060815,0.067794,0.076116,0.081157
"18",0.070681,5.1e-05,0.070227,0.059314,0.065683,0.075633,0.082152
"19",0.067914,3.3e-05,0.068199,0.058511,0.063829,0.071751,0.077083
"20",0.069438,4.9e-05,0.069246,0.058476,0.064389,0.074417,0.081422
"21",0.071244,3.9e-05,0.071283,0.061252,0.06705,0.075448,0.081361
"22",0.069302,3.7e-05,0.069155,0.059924,0.065137,0.072847,0.079359
"23",0.066775,3.3e-05,0.066913,0.057456,0.062959,0.07062,0.076015
"24",0.071622,4.1e-05,0.071656,0.060995,0.067061,0.076543,0.081445
"25",0.063929,3e-05,0.063779,0.054972,0.060104,0.067492,0.072746
"26",0.076668,3.4e-05,0.076732,0.066965,0.072813,0.080709,0.085519
"27",0.062512,2.5e-05,0.062552,0.05439,0.059134,0.065809,0.070283
"28",0.074697,4.1e-05,0.074523,0.064545,0.070447,0.078983,0.085231
"29",0.06803,4e-05,0.067544,0.05772,0.063389,0.072125,0.078645
"30",0.059244,2.3e-05,0.059676,0.05117,0.055922,0.062545,0.066667
"31",0.063937,4.9e-05,0.063649,0.053077,0.059005,0.068779,0.075515
"32",0.07136,3.6e-05,0.071683,0.061882,0.067109,0.075358,0.081271
"33",0.06238,2.9e-05,0.062306,0.053608,0.058599,0.065782,0.071751
"34",0.077134,4.3e-05,0.077614,0.065824,0.07282,0.082104,0.086986
"35",0.067725,3.2e-05,0.067253,0.059312,0.06396,0.071247,0.077166
"36",0.068862,4.1e-05,0.068683,0.058831,0.064504,0.07329,0.079311
"37",0.071526,3.9e-05,0.071451,0.061416,0.067316,0.075724,0.082374
"38",0.065423,3.3e-05,0.065157,0.056146,0.061578,0.069245,0.075329
"39",0.06515,3.7e-05,0.06512,0.054613,0.061539,0.069184,0.07512
"40",0.079068,4.9e-05,0.079122,0.067931,0.074745,0.083491,0.091137
"41",0.074956,4.1e-05,0.075049,0.064555,0.070653,0.079127,0.085978
"42",0.073395,7.9e-05,0.072895,0.059567,0.067313,0.079113,0.089298
"43",0.064512,3.6e-05,0.064714,0.05389,0.06051,0.068706,0.073894
"44",0.071622,5.1e-05,0.071552,0.059979,0.066741,0.076716,0.083153
"45",0.073131,3.2e-05,0.072934,0.063818,0.069607,0.076969,0.082839
"46",0.072558,4.3e-05,0.072574,0.061365,0.06821,0.076966,0.083312
"47",0.076595,7.2e-05,0.075701,0.063306,0.070356,0.083329,0.090726
"48",0.058996,3e-05,0.059114,0.049708,0.055392,0.062705,0.068141
"49",0.066531,3e-05,0.066687,0.057679,0.062596,0.070302,0.075536
"50",0.066801,3.7e-05,0.066473,0.057152,0.062733,0.070784,0.076938
"51",0.073642,4.6e-05,0.074448,0.061294,0.069585,0.078321,0.083614
"52",0.076001,4.4e-05,0.075955,0.064774,0.07136,0.080871,0.085879
"53",0.076873,3.7e-05,0.076999,0.066827,0.072571,0.081062,0.086414
"54",0.071532,3.2e-05,0.071301,0.062248,0.067993,0.075529,0.080335
"55",0.074783,3.5e-05,0.074536,0.064992,0.070896,0.078321,0.084828
"56",0.062176,3.5e-05,0.062149,0.052677,0.058226,0.06597,0.071783
"57",0.071254,4e-05,0.071147,0.060367,0.06732,0.075491,0.081627
"58",0.074314,5.2e-05,0.073746,0.063563,0.068717,0.078768,0.086985
"59",0.073636,4.1e-05,0.073408,0.062976,0.069377,0.078298,0.083564
"60",0.064831,3.2e-05,0.065389,0.054445,0.061026,0.068819,0.073113
"61",0.064519,3.6e-05,0.064478,0.055167,0.060587,0.068601,0.074568
"62",0.074414,3.3e-05,0.074309,0.065199,0.070767,0.078484,0.083374
"63",0.06527,4e-05,0.064917,0.055223,0.061035,0.069365,0.076027
"64",0.079533,5.4e-05,0.079213,0.067671,0.074588,0.084577,0.092129
"65",0.085699,4.7e-05,0.085721,0.074747,0.080911,0.090364,0.096642
"66",0.075336,3.9e-05,0.075494,0.065337,0.071093,0.079455,0.0852
"67",0.071758,3.4e-05,0.071773,0.062497,0.067575,0.075757,0.081655
"68",0.086367,5.1e-05,0.086487,0.074191,0.081577,0.091403,0.097998
"69",0.066113,3.9e-05,0.065767,0.056164,0.062166,0.069771,0.076853
"70",0.07947,5.2e-05,0.079559,0.067475,0.074506,0.084295,0.091276
"71",0.067262,3e-05,0.06765,0.058121,0.064041,0.070868,0.075809
"72",0.067569,4.1e-05,0.067129,0.057815,0.062952,0.071734,0.078448
"73",0.070175,4.9e-05,0.069868,0.059836,0.06488,0.073979,0.082632
"74",0.076941,4.1e-05,0.077114,0.066554,0.072431,0.081146,0.087573
"75",0.067098,3.9e-05,0.067055,0.057444,0.062704,0.071558,0.076854
"76",0.067639,2.7e-05,0.067586,0.058849,0.064109,0.071409,0.075942
"77",0.069334,5.4e-05,0.0691,0.058397,0.064085,0.073953,0.082526
"78",0.067202,4.1e-05,0.067174,0.057489,0.062903,0.071199,0.077656
"79",0.066578,3.2e-05,0.066604,0.057614,0.062808,0.070395,0.0758
"80",0.073893,4.4e-05,0.07386,0.062619,0.069909,0.078475,0.084189
"81",0.06227,5.1e-05,0.061829,0.052047,0.057112,0.06654,0.074798
"82",0.064329,3.4e-05,0.064324,0.055296,0.060095,0.068133,0.074033
"83",0.073194,4.2e-05,0.073296,0.062506,0.069206,0.077337,0.083867
"84",0.077778,5.9e-05,0.078054,0.064954,0.072122,0.083403,0.089899
"85",0.072114,5.6e-05,0.071971,0.060307,0.066691,0.076559,0.08536
"86",0.077334,4.5e-05,0.07764,0.065498,0.073193,0.08234,0.087498
"87",0.070503,3.7e-05,0.070352,0.059422,0.06685,0.074879,0.080429
"88",0.07563,2.9e-05,0.075585,0.066771,0.072192,0.078921,0.084578
