"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.026745,4e-06,0.026692,0.023332,0.025241,0.028076,0.030205
"2",0.022884,4e-06,0.022832,0.019589,0.021465,0.024324,0.026335
"3",0.022942,3e-06,0.022836,0.020141,0.02185,0.024015,0.02566
"4",0.019756,4e-06,0.019733,0.016676,0.018344,0.021028,0.022757
"5",0.021962,3e-06,0.022002,0.019076,0.020915,0.023145,0.024681
"6",0.021147,4e-06,0.021238,0.018001,0.019904,0.022339,0.024175
"7",0.020133,3e-06,0.020124,0.017226,0.019019,0.021352,0.023086
"8",0.020918,4e-06,0.020899,0.017566,0.019623,0.022251,0.0242
"9",0.021346,3e-06,0.021297,0.018563,0.020167,0.02254,0.024277
"10",0.021828,5e-06,0.021818,0.018123,0.020488,0.02311,0.025406
"11",0.020478,3e-06,0.020517,0.017639,0.019322,0.02165,0.023283
"12",0.022054,3e-06,0.022136,0.019426,0.020939,0.023092,0.024859
"13",0.021375,4e-06,0.021447,0.01813,0.020132,0.022647,0.024174
"14",0.020686,3e-06,0.020656,0.017752,0.019605,0.021882,0.02341
"15",0.022253,4e-06,0.022259,0.019149,0.020834,0.023682,0.025543
"16",0.022854,4e-06,0.022789,0.019649,0.021428,0.02435,0.026199
"17",0.024707,4e-06,0.024834,0.020943,0.023442,0.026066,0.028204
"18",0.020068,3e-06,0.020132,0.017054,0.018897,0.02134,0.022888
"19",0.020464,4e-06,0.020503,0.017264,0.019269,0.021623,0.023563
"20",0.022735,4e-06,0.022778,0.019529,0.021443,0.023961,0.026123
"21",0.02076,5e-06,0.020761,0.017408,0.01937,0.022077,0.024032
"22",0.022406,4e-06,0.02253,0.018955,0.020972,0.023938,0.025549
"23",0.021431,4e-06,0.02148,0.018342,0.020115,0.022771,0.024756
"24",0.020955,4e-06,0.020966,0.017636,0.019582,0.022412,0.024301
"25",0.024817,5e-06,0.024789,0.021214,0.023272,0.026317,0.028413
"26",0.020158,3e-06,0.020119,0.017111,0.018974,0.021352,0.023352
"27",0.017846,3e-06,0.017953,0.015063,0.016672,0.019039,0.020476
"28",0.021444,4e-06,0.021367,0.018292,0.020234,0.022804,0.024465
"29",0.022849,3e-06,0.022883,0.020012,0.021608,0.024054,0.025804
"30",0.022053,5e-06,0.022021,0.018582,0.020613,0.023494,0.025523
"31",0.020554,3e-06,0.020639,0.01751,0.019322,0.021859,0.023516
"32",0.022444,5e-06,0.022401,0.019005,0.021072,0.023681,0.025937
"33",0.024648,5e-06,0.024621,0.021172,0.023213,0.026169,0.028069
"34",0.024259,4e-06,0.024317,0.021147,0.022902,0.025537,0.027376
"35",0.022267,4e-06,0.022258,0.018827,0.021012,0.023617,0.02531
"36",0.021598,4e-06,0.021655,0.018173,0.020254,0.023018,0.024722
"37",0.022441,5e-06,0.022426,0.018887,0.021112,0.023781,0.025971
"38",0.025615,4e-06,0.025754,0.022141,0.024344,0.027009,0.028797
"39",0.020355,5e-06,0.020188,0.017185,0.018966,0.021551,0.02379
"40",0.021306,4e-06,0.021253,0.017697,0.0199,0.022803,0.024544
"41",0.021534,4e-06,0.021611,0.018259,0.020212,0.022887,0.024748
"42",0.020372,3e-06,0.02033,0.017598,0.019095,0.021609,0.023339
"43",0.022107,4e-06,0.022126,0.018897,0.020769,0.023444,0.025445
"44",0.021611,3e-06,0.021643,0.018649,0.020428,0.022767,0.024573
"45",0.022681,4e-06,0.02267,0.01952,0.021432,0.024012,0.025869
"46",0.020474,4e-06,0.020387,0.017377,0.019287,0.021777,0.023564
"47",0.02426,4e-06,0.02437,0.020997,0.022943,0.025528,0.027316
"48",0.020985,3e-06,0.021119,0.018012,0.019786,0.022193,0.023862
"49",0.026152,4e-06,0.026149,0.022823,0.024737,0.027578,0.029522
"50",0.021362,4e-06,0.021368,0.018318,0.020095,0.022675,0.024385
