"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.008167,0,0.008375,0.007294,0.007743,0.008514,0.008671
"2",0.003835,0,0.003973,0.002734,0.00373,0.004116,0.004282
"3",0.005293,7e-06,0.004454,0.001759,0.00289,0.008141,0.009259
"4",0.010691,0,0.010827,0.009452,0.010176,0.011235,0.011622
"5",0.001601,0,0.001661,0.001077,0.001405,0.001813,0.002008
"6",0.003949,2e-06,0.003672,0.002025,0.002874,0.005121,0.005992
"7",0.003529,7e-06,0.002223,0.001468,0.001925,0.005814,0.009396
"8",0.005453,5e-06,0.006019,0.002752,0.002881,0.00762,0.00814
"9",0.001403,1e-06,0.001229,0.000688,0.000892,0.00138,0.003993
"10",0.004905,3e-06,0.004061,0.003201,0.003379,0.006338,0.008124
"11",0.005871,1e-06,0.005676,0.004533,0.004905,0.006828,0.007476
"12",0.002558,1e-06,0.002934,0.001085,0.001774,0.003143,0.003302
"13",0.007681,1e-05,0.009243,0.001576,0.00792,0.009597,0.009893
"14",0.003436,1e-05,0.000887,0.00069,0.000742,0.006151,0.008455
"15",0.004974,1e-06,0.00453,0.004254,0.004445,0.004647,0.007924
"16",0.006843,1.8e-05,0.008599,0.000503,0.000689,0.009913,0.011728
"17",0.009681,1e-06,0.009564,0.008369,0.009091,0.010073,0.011539
"18",0.003514,2e-06,0.00335,0.001963,0.002295,0.004342,0.006131
"19",0.001757,0,0.001785,0.001514,0.001693,0.001842,0.001899
"20",0.003482,2e-06,0.003091,0.002146,0.002293,0.004575,0.005628
"21",0.003214,3e-06,0.002424,0.002044,0.002204,0.003356,0.00811
"22",0.001339,0,0.001179,0.000602,0.000793,0.001977,0.002104
"23",0.000747,0,0.000606,0.000379,0.000424,0.001107,0.001403
"24",0.001375,2e-06,0.000892,0.000699,0.000793,0.001054,0.005369
"25",0.006245,3e-06,0.005833,0.003955,0.004613,0.008392,0.008806
"26",0.003973,3e-06,0.004268,0.001048,0.002867,0.005095,0.006721
"27",0.001806,7e-06,0.000778,0.000352,0.000448,0.001005,0.008057
"28",0.008455,2e-06,0.007991,0.007011,0.007253,0.009717,0.010497
"29",0.003708,9e-06,0.003027,0.00111,0.00227,0.003933,0.013157
"30",0.000869,0,0.000877,0.000735,0.00082,0.000929,0.000969
"31",0.005669,1e-06,0.00558,0.004539,0.005002,0.0063,0.007024
"32",0.004083,1e-06,0.004301,0.002831,0.003438,0.004767,0.00493
"33",0.001829,2e-06,0.001247,0.000725,0.00077,0.001981,0.005579
"34",0.003792,1e-06,0.003648,0.003198,0.003464,0.003896,0.004214
"35",0.005677,3e-06,0.006655,0.002616,0.004187,0.006984,0.007273
"36",0.000887,1e-06,0.000809,0.000623,0.000734,0.000848,0.000907
"37",0.00419,0,0.004418,0.003297,0.003524,0.004591,0.005064
"38",0.005152,1e-06,0.005333,0.0032,0.004673,0.00599,0.006284
"39",0.006361,1e-06,0.00646,0.005011,0.005617,0.007103,0.007533
"40",0.003063,4e-06,0.002377,0.001435,0.001625,0.003633,0.007502
"41",0.004423,1e-06,0.004245,0.002905,0.003414,0.005416,0.006284
"42",0.002728,0,0.002652,0.001991,0.002259,0.003241,0.003588
"43",0.001542,0,0.001535,0.001245,0.001389,0.001675,0.00187
"44",0.005043,1e-06,0.005276,0.003542,0.004401,0.005649,0.006242
"45",0.007998,0,0.008053,0.007306,0.007715,0.008277,0.008583
"46",0.000643,0,0.000639,0.000528,0.000596,0.000685,0.000766
"47",0.002388,0,0.002415,0.002006,0.002201,0.002525,0.002773
"48",0.0027,0,0.002707,0.002276,0.002481,0.002919,0.003067
"49",0.004675,6e-06,0.005675,0.00149,0.001942,0.005954,0.008706
"50",0.008222,1.3e-05,0.009161,0.001747,0.006055,0.011233,0.012639
