"","mean","var","median","0.05th","0.25th","0.75th","0.95th"
"1",0.004591,1e-06,0.004681,0.002813,0.004198,0.005172,0.006091
"2",0.012473,2.4e-05,0.011039,0.005695,0.0088,0.01703,0.021001
"3",0.013045,1.9e-05,0.011951,0.008132,0.010176,0.014127,0.021792
"4",0.004226,2e-06,0.003336,0.002729,0.00306,0.005357,0.007418
"5",0.009484,3e-06,0.009932,0.004764,0.00913,0.010594,0.011563
"6",0.011503,4.5e-05,0.010397,0.001979,0.006114,0.017928,0.01921
"7",0.00671,3e-06,0.006483,0.004259,0.005516,0.007984,0.009691
"8",0.008605,4.2e-05,0.004016,0.00299,0.003443,0.013976,0.017813
"9",0.006618,1.4e-05,0.006808,0.002479,0.002894,0.010366,0.011768
"10",0.013367,1e-05,0.012374,0.008701,0.0111,0.015888,0.019345
"11",0.002371,0,0.002357,0.00205,0.002224,0.00249,0.002738
"12",0.007553,5.3e-05,0.003513,0.002309,0.00312,0.010519,0.021537
"13",0.006544,0,0.006498,0.005789,0.006186,0.006898,0.007458
"14",0.007122,4e-06,0.006729,0.005375,0.00609,0.007706,0.009178
"15",0.007914,1e-06,0.007982,0.006521,0.0074,0.008452,0.009108
"16",0.012799,4e-06,0.012619,0.009588,0.011271,0.014011,0.016601
"17",0.020564,5.7e-05,0.017555,0.010853,0.014162,0.028134,0.031042
"18",0.00702,7e-06,0.00603,0.004351,0.005234,0.007004,0.012172
"19",0.012474,1e-06,0.012545,0.011139,0.011999,0.013008,0.013637
"20",0.010492,7e-06,0.009503,0.007554,0.00857,0.012262,0.015721
"21",0.01561,3.4e-05,0.018662,0.005588,0.00853,0.019994,0.021398
"22",0.009491,2e-06,0.009855,0.007085,0.008478,0.010476,0.011191
"23",0.013369,4.2e-05,0.010651,0.008799,0.009799,0.012806,0.029611
"24",0.020491,4e-06,0.021163,0.016389,0.019418,0.021912,0.022918
"25",0.016689,3.7e-05,0.016948,0.008325,0.010484,0.022546,0.02514
"26",0.011217,1e-06,0.01118,0.009495,0.010458,0.012031,0.012828
"27",0.0039,9e-06,0.002167,0.001773,0.001986,0.007433,0.009313
"28",0.010037,2.3e-05,0.0103,0.002552,0.006346,0.012853,0.017534
"29",0.005986,0,0.00597,0.005038,0.005538,0.006395,0.007016
"30",0.012279,1.5e-05,0.014162,0.005464,0.009571,0.01503,0.015852
"31",0.005286,1e-06,0.005111,0.004157,0.004706,0.005553,0.007678
"32",0.004389,1e-06,0.004285,0.003029,0.003669,0.005014,0.006167
"33",0.014478,0.000116,0.006019,0.00383,0.00466,0.025997,0.029605
"34",0.012923,7.2e-05,0.011171,0.002094,0.008153,0.023482,0.026962
"35",0.006737,1.6e-05,0.006117,0.002183,0.002836,0.011269,0.01327
"36",0.005155,9e-06,0.00576,0.001838,0.002103,0.007707,0.010101
"37",0.003995,8e-06,0.003249,0.002568,0.002969,0.003524,0.013347
"38",0.010958,2.3e-05,0.012767,0.002543,0.010924,0.013728,0.016164
"39",0.009291,1.1e-05,0.008791,0.005613,0.007653,0.009589,0.017921
"40",0.008095,1e-05,0.008898,0.002232,0.006689,0.010633,0.012088
"41",0.00921,1.3e-05,0.00924,0.001634,0.008399,0.010141,0.011874
"42",0.002886,4e-06,0.002603,0.002177,0.002414,0.002821,0.003307
"43",0.013231,3.2e-05,0.016044,0.002312,0.010834,0.017148,0.018471
"44",0.010293,2e-06,0.010304,0.008291,0.009299,0.01123,0.01231
"45",0.006141,2e-06,0.005868,0.004577,0.00517,0.007122,0.008146
"46",0.004823,5e-06,0.004057,0.002422,0.003097,0.006191,0.008981
"47",0.004848,1e-05,0.003248,0.001964,0.002549,0.00802,0.010858
"48",0.003958,3e-06,0.003387,0.002097,0.002377,0.005832,0.00666
"49",0.015692,3e-06,0.015721,0.012653,0.014489,0.016963,0.018621
"50",0.006752,1.9e-05,0.003605,0.002947,0.003201,0.011865,0.014015
"51",0.005012,1.4e-05,0.002208,0.001825,0.001999,0.009207,0.010897
"52",0.005814,4e-06,0.006677,0.002769,0.003201,0.007344,0.008028
"53",0.002859,0,0.002818,0.002314,0.002596,0.003115,0.003505
"54",0.004856,3e-06,0.004777,0.002604,0.003498,0.005343,0.008452
"55",0.010718,1e-06,0.010615,0.009239,0.010034,0.01143,0.012285
"56",0.008541,6e-06,0.007481,0.005897,0.006719,0.010873,0.013225
"57",0.006915,7e-06,0.005987,0.004856,0.005372,0.007128,0.014255
"58",0.016531,6.3e-05,0.018128,0.005412,0.006076,0.019395,0.029049
"59",0.006385,1.4e-05,0.004573,0.003324,0.003907,0.008497,0.014017
"60",0.00672,1e-06,0.006866,0.004754,0.005943,0.007527,0.008232
"61",0.005283,1.1e-05,0.004264,0.003694,0.004004,0.004685,0.013257
"62",0.005518,3.8e-05,0.002152,0.00183,0.002026,0.00631,0.019428
"63",0.005525,1e-06,0.005448,0.004461,0.004939,0.00607,0.006925
"64",0.012788,9e-06,0.012098,0.009392,0.010341,0.01525,0.018034
"65",0.004566,0,0.004594,0.003652,0.004118,0.004971,0.005451
"66",0.009345,5e-06,0.008446,0.007266,0.007781,0.009924,0.013902
"67",0.004602,7e-06,0.003213,0.002732,0.00298,0.006584,0.008569
"68",0.011185,6e-06,0.012197,0.005641,0.008988,0.013031,0.014097
"69",0.007356,0,0.007405,0.006198,0.00692,0.00779,0.008437
"70",0.013353,3.8e-05,0.013475,0.00478,0.006822,0.01966,0.021774
"71",0.003959,2e-06,0.003196,0.002358,0.002786,0.005389,0.006315
"72",0.009702,1.1e-05,0.010958,0.001813,0.008928,0.01207,0.01294
"73",0.008572,3e-06,0.008339,0.006537,0.007488,0.009058,0.01235
"74",0.013267,1.7e-05,0.0121,0.008676,0.010503,0.014512,0.022516
"75",0.003772,6e-06,0.002327,0.001819,0.002096,0.005217,0.010052
"76",0.009965,1e-06,0.009942,0.008756,0.009447,0.010468,0.011296
"77",0.004442,1e-06,0.004419,0.003189,0.003924,0.004975,0.005736
"78",0.015293,1e-05,0.015992,0.010903,0.014113,0.017173,0.018464
"79",0.003656,5e-06,0.002636,0.002157,0.002429,0.003335,0.00886
"80",0.011717,7.4e-05,0.007018,0.006076,0.0065,0.013234,0.030935
"81",0.002798,6e-06,0.002146,0.001835,0.002,0.002341,0.005853
"82",0.015018,2.7e-05,0.016758,0.004201,0.015701,0.018131,0.020001
"83",0.007698,2e-06,0.007544,0.005741,0.006653,0.008676,0.010031
"84",0.012325,1.1e-05,0.013306,0.004473,0.012232,0.014242,0.01586
"85",0.009137,2.9e-05,0.011741,0.003307,0.003759,0.013711,0.017175
"86",0.007013,3.5e-05,0.002661,0.002008,0.002326,0.014163,0.01596
"87",0.006892,7e-06,0.006015,0.00315,0.005525,0.008534,0.012388
"88",0.008278,1.5e-05,0.01026,0.002662,0.003643,0.011707,0.012706
"89",0.006769,1e-06,0.006724,0.005429,0.006225,0.007305,0.008165
"90",0.003704,1e-06,0.003605,0.001695,0.003167,0.004307,0.005588
"91",0.008218,1e-05,0.008985,0.002339,0.006938,0.010406,0.011973
"92",0.010894,9e-06,0.011748,0.006925,0.007715,0.013026,0.015893
"93",0.003593,8e-06,0.001771,0.001469,0.001631,0.006486,0.008536
"94",0.006106,1.1e-05,0.007058,0.001732,0.002017,0.008766,0.010552
"95",0.006632,2e-06,0.006016,0.004612,0.005539,0.008061,0.009097
"96",0.013142,4.3e-05,0.009786,0.007581,0.008315,0.018987,0.026859
"97",0.01104,2e-06,0.011129,0.008841,0.010106,0.012005,0.012977
"98",0.005412,1e-06,0.005454,0.003629,0.004409,0.006322,0.007179
"99",0.00641,1e-05,0.005559,0.002584,0.003529,0.009398,0.011862
"100",0.009262,2.3e-05,0.006532,0.005088,0.0057,0.014741,0.0179
